Actual,predictions
5,5.005894249
5,4.988480033
6,6.028704065
6,6.002247223
7,7.012933682
5,4.973564531
6,6.021114807
6,5.981611396
6,5.977302353
4,3.998572229
6,5.982958874
5,4.994779719
6,5.979701483
6,6.071799449
4,4.031467265
5,5.053789397
6,6.003205555
6,5.990763164
7,7.02351425
6,5.991453387
5,5.013153643
6,6.028827833
6,5.994429397
5,4.984739849
6,5.968494464
6,5.968494464
6,5.968494464
5,4.981649596
7,7.014931067
7,7.005674711
5,5.001378671
7,7.017256651
7,7.030679371
6,6.031873292
5,4.986894933
7,6.983872928
6,5.996953536
7,6.995924076
6,6.021568085
5,5.009313625
6,5.981438618
6,6.038265463
6,6.006648758
7,6.995286976
7,6.985131171
6,5.996243045
6,5.997982352
7,7.014223459
6,6.034833949
6,5.997982352
6,6.0217948
6,6.049744333
5,4.99605893
5,4.99390794
5,5.0098773
6,5.992695814
6,5.991578605
6,5.98611287
6,6.01383979
7,6.993907703
6,6.022150715
5,5.016580492
7,7.029473039
6,6.029748189
5,5.042723901
6,6.015939583
5,5.009816352
5,4.972334811
6,5.969270207
7,7.020727631
7,6.988838341
7,7.025648245
6,5.998350345
7,7.012038871
6,6.009947736
7,7.017119031
7,7.019486654
6,5.991586481
6,5.996504924
6,5.996869127
6,6.00196602
6,6.00196602
6,6.025040708
6,6.00196602
6,6.026308271
6,5.976207719
7,6.978165989
7,6.986349377
7,7.025586965
7,7.018370191
6,5.96535648
6,6.028323061
6,5.983331218
6,5.983331218
5,5.003760325
6,6.032447853
5,4.987134532
6,5.999062891
7,6.957529321
5,5.016911087
5,5.005129342
6,5.964261862
6,5.964261862
6,6.02806287
5,5.023864676
5,5.02629545
7,6.997125295
5,4.975958932
6,6.060125308
7,6.967655239
5,5.015996998
7,6.967655239
5,4.974033242
5,4.971488747
5,4.974033242
7,6.982178327
7,6.984055286
5,4.950510276
6,6.015873312
5,5.020229365
6,6.013067947
6,5.996672563
5,5.02694815
6,5.996672563
7,6.990822587
6,6.015899681
6,6.024948347
6,5.981988502
6,5.974919687
6,5.974919687
5,4.978431714
5,4.978431714
7,7.022068627
6,6.031715239
7,7.020905989
6,5.993783729
6,6.019287474
6,6.019287474
6,5.997261631
6,5.99196377
6,6.062393656
7,7.039786482
5,5.002864816
5,4.980631632
6,6.013401547
5,5.018336461
5,5.003252935
5,5.000554213
6,6.020484869
6,6.020484869
5,4.999293515
7,7.016587546
7,6.985304589
6,6.004482406
7,7.03077691
7,7.025700974
7,7.03077691
6,5.985631988
7,7.013260793
5,4.997642404
5,4.973717778
6,5.986416217
6,6.038000989
5,5.015672515
4,4.0174002
6,6.034718166
6,6.004356022
5,4.974357321
5,4.9702369
5,4.98676604
5,4.996393349
7,6.971749111
6,5.991757898
5,5.01382966
6,6.017310851
7,7.015164772
6,5.987218626
6,6.023497986
5,5.004298218
7,6.996830978
6,6.012592875
6,5.992622247
7,6.97529728
7,7.032352389
7,7.023484559
6,6.017663951
6,6.015914951
7,7.012958705
5,4.989060848
7,6.967472564
7,6.967472564
7,6.991322458
7,7.034752
7,7.042385895
5,5.027708808
6,6.003945422
6,6.002432749
6,6.002432749
6,6.02970469
5,4.994583395
6,6.011535681
6,6.017487438
6,5.992742318
6,6.01942355
5,4.998585451
5,5.000009641
6,5.999465097
7,7.005234235
5,4.994695704
5,5.009759334
6,6.021450947
6,6.011995222
6,5.944127575
6,6.023153483
6,6.007522319
7,7.013233007
5,5.0000097
7,7.014443079
5,5.007838211
5,5.010236418
6,6.007519949
6,6.004080998
5,5.03055466
6,5.997711323
6,6.016349728
6,6.019109621
6,6.052971567
5,5.016455482
5,4.983699595
6,6.022206104
7,7.010795468
5,4.996244984
6,5.998679265
6,5.995219366
5,4.98490997
6,5.966716633
5,4.980393271
7,7.011584271
6,5.985171871
6,6.040965323
6,5.983052852
6,6.043765731
4,4.03358311
6,6.036314754
6,5.990878073
6,6.02047281
6,6.005838439
6,5.969220096
5,5.008402353
6,5.982656392
6,5.973953922
5,5.020171412
7,6.968535949
7,6.966910395
7,6.992200302
7,7.034013696
6,6.009869924
6,5.972059477
6,6.012903641
6,5.990093896
5,5.010923781
7,7.0171369
5,4.970788707
6,6.013157565
6,6.014338498
6,5.999839247
6,6.023226395
5,5.012569436
7,7.013583857
7,7.012234421
7,7.012165524
7,6.997911055
6,6.00471874
4,4.007442806
6,5.975333673
4,4.007442806
6,5.944676279
7,6.957612803
6,5.944676279
7,7.016905106
6,6.014485308
6,6.012290428
6,6.010168302
6,6.012181395
5,5.020307502
6,6.011664002
6,6.019939353
6,6.00866214
6,6.018657617
7,6.995748685
6,6.015466037
6,6.022297198
7,6.997699792
5,5.016063707
6,6.045791771
6,5.973703586
6,5.967023043
7,7.002640038
6,6.00921163
5,5.007074034
7,7.015635944
6,6.042011953
6,5.987397362
6,6.035872329
6,6.003344805
6,6.003344805
6,6.010733677
6,5.997267818
5,4.993612405
6,6.015033326
6,5.99361179
7,6.959991661
6,5.987347844
5,5.046418689
7,6.999731553
5,5.047209119
5,5.030145402
6,6.028548347
7,7.021065146
5,5.029001307
5,5.032522397
5,5.029099018
5,5.021084311
6,6.049385221
5,5.009262635
5,5.041405644
5,5.022210671
6,6.023234068
5,5.035928723
7,7.025273497
5,5.033392625
5,5.00928228
6,6.035481915
6,6.033288222
5,5.017025714
5,5.02058006
5,5.024845724
5,5.021593411
7,7.00949304
6,5.988476712
5,5.028252536
6,6.023832454
6,6.025094154
6,6.013550485
6,6.000886012
5,5.004876599
5,5.04042136
6,6.042499894
5,5.001908617
6,6.018642662
6,6.008793118
5,5.003588542
5,5.03567112
5,5.032637256
5,5.033700374
6,6.016562749
6,6.000538202
6,6.035304891
6,6.018302648
6,6.009778774
6,6.009778774
5,5.036804077
5,5.004725818
6,6.014127867
5,5.030832651
6,6.020449113
6,6.026414804
5,5.016973325
6,6.033594162
6,6.027215156
5,5.012356892
5,5.042474982
6,6.034915992
5,5.00936529
5,5.019176923
7,6.999233051
6,5.986119925
6,6.018316292
5,5.024675452
5,5.005026137
5,5.024727343
5,5.012892023
6,6.027391635
6,6.015247098
5,5.033562508
7,7.010547385
6,5.997964577
5,5.024407374
5,4.988850913
5,5.026874686
5,5.012234819
6,5.991179177
5,4.987962018
5,5.009678858
6,5.992361909
5,4.98822567
5,5.003509864
6,6.00322111
7,7.018891286
6,6.009837885
5,4.993926388
6,6.015986332
5,5.008609776
6,6.01903385
4,3.995739743
7,7.036638828
5,5.004858312
5,4.998914955
5,4.991259243
6,5.992667012
5,5.023284865
5,5.005340549
5,5.019490496
5,5.010230284
5,5.012984869
6,5.979557023
6,5.992144584
5,5.003656933
5,4.997920487
5,5.040793554
6,6.028521008
5,5.002367026
6,6.027190251
5,5.036515714
6,6.019213215
6,6.012461934
6,6.028502779
6,6.006667908
6,5.999319448
6,5.999319448
6,6.039591412
6,6.003207056
5,5.034582503
5,5.013002059
6,6.066612843
5,5.023390168
5,5.026461472
6,6.030871193
5,5.035313521
6,6.019847034
5,5.030121271
6,6.038660615
7,7.030213177
5,5.026472057
6,6.072547627
5,5.025517563
6,6.02483842
7,7.037518808
5,5.030158963
7,7.029816287
5,5.021707607
6,6.020074392
5,5.04342875
5,5.041479496
6,6.020867672
5,5.044102424
5,5.031840407
6,6.033313458
6,6.040847555
5,5.041211675
5,5.043773556
6,6.012855266
7,7.015577582
7,7.041544386
6,6.004847221
5,5.027458643
7,7.012035957
7,7.048568391
6,6.044215568
6,6.012632473
6,6.018505904
6,6.02285927
6,6.015884947
5,5.027765746
6,6.015328938
6,6.017306678
6,6.047583744
6,6.037059789
5,5.01873664
6,6.026079635
6,6.048023168
7,7.001775724
6,6.015728046
5,5.029612536
7,7.023898223
6,6.029010409
5,5.011240298
6,6.019439568
6,6.024942028
6,6.02006977
5,5.0243546
6,6.02348755
5,5.041209022
5,5.041209022
6,6.024754137
6,6.018998025
5,5.035332084
4,4.030732547
7,7.00267988
6,6.038128245
6,6.043230656
5,5.0105723
5,5.027479207
7,7.020202088
5,5.033704656
5,5.038778663
5,5.000357902
5,5.018006517
5,5.044345603
5,5.0176787
5,4.999796782
6,6.009322082
6,6.03020655
5,5.048783332
7,7.033667605
4,4.040292087
6,6.033675497
6,6.032588734
5,5.041423353
6,6.037286897
5,5.044078073
5,5.047229846
6,6.059672395
5,5.04985348
5,5.047229846
6,6.041159728
6,6.048392084
6,6.035058261
5,5.054645323
5,5.034358025
6,6.039110125
7,7.013287723
7,7.020699529
5,5.037271663
7,7.031975417
5,5.038978348
5,5.039435894
5,5.042965358
6,6.035873935
6,6.042803378
6,6.050755885
